Number,입력문장,BEST1,BEST2,BEST3
76,그런데 그 사람의 말에 어떤 대꾸도 없이 K는 운동화 끈을 풀었다. ,그런데 그 사람의 말에 K는 어떤 대꾸도 없이 운동화 끈을 풀었다. ,그런데 그 사람의 말에 어떤 대꾸도 없이 K는 운동화 끈을 풀었다. ,그런데 그 사람의 말에 K는 어떤 대꾸도 없이 운동화 끈을 풀었다.
77,그러나 그의 말에 묵묵부답인 채로 K는 운동화의 끈을 풀었다. ,하지만 그의 말에 묵묵부답인 채로 K는 운동화의 끈을 풀었다. ,그렇지만 그의 말에 묵묵부답인 채로 K는 운동화의 끈을 풀었다,그렇지만 그의 말에 묵묵부답인 채로 K는 운동화의 끈을 풀어
78,K는 깜짝 놀라 눈을 떴다. ,K는 깜짝 놀라 눈을 떴다. ,K는 깜짝 놀라서 눈을 떴다,K는 깜짝 놀라 눈을 떴다. 
79,완악해서 K는 눈을 떴다. ,완악해서 K는 눈을 떴다. ,K는 완악해서 눈을 떴다. ,완악한 K는 눈을 떴다. 
80,K가 눈을 뜬 것은 아연실색했기 때문이다. ,K가 눈을 뜬 것은 아연실색했기 때문이다. ,K가 눈을 뜬 건 아연실색했기 때문이다. ,K가 눈을 뜬 것은 아연실색하였기 때문이다
81,K는 다소 무관심한 얼굴을 하고 있을 뿐 그의 말에는 아무 대꾸도 하지 않았다. ,K는 약간 무관심한 얼굴을 하고 있을 뿐 그의 말에는 아무 대꾸도 하지 않았다. ,K는 다소 무관심한 얼굴을 하고 있을 뿐 그의 말에는 아무런 대꾸도 하지 않았다. ,K는 약간 무관심한 얼굴을 하고 있을 뿐 그의 말에는 아무 대꾸도 하지 않았다.
82,그의 말에 K는 별로 관심이 없다는 얼굴로 전혀 대답조차 하지 않았다. ,그의 말에 K는 별로 관심이 없다는 얼굴로 전혀 대답조차 하지 않았다. ,그의 말에 K는 별로 관심을 없다는 얼굴로 전혀 대답조차 하지 않았다. ,그의 말에 K는 별로 관심이 없다는 얼굴로 아무런 대답조차 하지 않았다
83,그가 말을 하는데 K는 별 관심이 없다는 얼굴로 아무런 대답도 하지 않았다. ,그가 말을 하는데 K는 별다른 관심이 없다는 얼굴로 아무런 대답도 하지 않았다. ,그가 말을 하니 K는 별다른 관심이 없다는 얼굴로 아무런 대답도 하지 않았다,그가 말을 하니 K는 별다른 관심이 없다는 얼굴로 아무런 대답도 하지 않았다
84,K는 다시 한번 알았다고 말했다. ,K는 다시 한번 알았다고 말하였다. ,K는 또다시 한번 알았다고 말하였다,K는 또다시 한번 알았다고 말했
85,K는 이미 인식했다고 재차 설명했다. ,K는 벌써 인식했다고 다시 설명했다. ,K는 벌써 인식했다고 다시 말했다. ,K는 벌써 인식했다고 다시 설명했다.
86,K는 재차 이해했다고 진술했다. ,K는 다시 이해했다고 진술했다. ,K는 다시 한번 이해했다고 진술했다,K는 다시 차 이해했다고 진술했다
87,K는 당황한 목소리가 되어 있었다. ,K는 당황한 목소리가 되어 있었다. ,K는 당혹한 목소리가 되어 있었다. ,K는 당황한 목소리가 돼 있었다. 
88,K는 당혹스런 목소리로 변해 있었다. ,당혹스런 목소리로 K는 변해 있었다. ,K는 당혹스런 목소리로 변해 있었다. ,당혹스런 목소리로 K는 변해 있었다.
89,K의 목소리에서 당혹스러움이 느꼈졌다. ,K의 목소리에서 당혹스러움이 느꼈졌다. ,K의 목소리에서 당혹스럽움이 느꼈졌다. ,K의 목소리에서 당혹스러움이 느꼈졌다.
90,"""K는 몹시 곤혹스러워하는, 그리고 몹시 불쾌해하는 표정이 되어 잠시 아무 말 하지 않았다."" ","""K는 몹시 곤혹스러워하는, 그리고 몹시 불쾌해하는 표정이 되어 잠시 아무 말 하지 않았다."" ","""K는 몹시 곤혹스러워하는, 그리고 몹시 불쾌해하는 표정이 되어 잠시 아무 말 하지 않았다."" ","""K는 무척 곤혹스러워하는, 그리고 몹시 불쾌해하는 표정이 되어 잠시 아무 말 하지 않았다."
91,K는 매우 곤란하고 못마땅하다는 듯한 얼굴로 얼마간 말이 없었다. ,K는 매우 곤란하고 못마땅하다는 듯한 얼굴로 얼마간 말이 없었다. ,K는 아주 곤란하고 못마땅하다는 듯한 얼굴로 얼마간 말이 없었다. ,K는 아주 난란하고 못마땅하다는 듯한 얼굴로 얼마간 말이 없었다. 
92,K는 굉장히 곤란하고 기분이 좋지 않은 얼굴로 잠시 동안 아무런 말도 하지 않았다. ,K는 굉장히 곤란하고 기분이 좋지 않은 얼굴로 잠시 동안 아무런 말도 하지 않았다. ,K는 굉장히 곤란하고 기분이 좋지 않은 얼굴로 잠시 동안 아무런 말도 하지 않았다. ,K는 굉장히 곤란하고 기분이 좋지 않은 얼굴로 잠시 동안 아무런 말도 하지 않았다.
93,K는 몹시 기력 없는 표정을 하고 있을 뿐 아무 말 하지 않았다. ,K는 무척 기력 없는 표정을 하고 있을 뿐 아무 말 하지 않았다. ,K는 무척 기력 없는 표정을 하고 있을 뿐 아무런 말 하지 않았다,K는 무척 기력 없는 표정을 하고 있을 뿐 아무런 말 하지 않았다
94,K는 기운 빠진 표정을 할 뿐 한 마디도 하지 않았다. ,K는 기운 빠진 표정을 할 뿐 한 마디도 하지 않았다. ,K는 기운 빠진 표정을 할 뿐 한 마디도 하지 않았다. ,K는 기운 빠진 표정을 할 뿐 한 마디도 하지 않았다.
95,K는 무기력한 얼굴로 어떤 이야기도 내뱉지 않았다. ,K는 무기력한 얼굴로 어떤 이야기도 내뱉지 않았다. ,무기력한 얼굴로 K는 어떤 이야기도 내뱉지 않았다. ,K는 무기력한 얼굴로 어떤 이야기도 내뱉지 않았다. 
96,K는 믿어지지 않는다는 표정으로 그를 바라보았다. ,K는 믿어지지 않는다는 표정으로 그를 바라보았다. ,믿어지지 않는다는 표정으로 K는 그를 바라보았다. ,K는 믿어지지 않는다는 표정으로 그를 바라보았다.
97,K는 신뢰할 수 없다는 듯한 표정으로 그를 바라보았다. ,K는 신뢰할 수 없다는 듯한 표정으로 그를 바라보았다. ,K는 신뢰할 수 없다는 듯한 표정으로 그를 바라보았다. ,K는 신뢰할 수 없다는 듯한 표정으로 그를 바라보았다. 
98,K는 받아들여지지 않는다는 표정으로 그를 바라보았다. ,K는 받아들여지지 않는다는 표정으로 그를 바라보았다. ,받아들여지지 않는다는 표정으로 K는 그를 바라보았다. ,K는 받아들여지지 않는다는 표정으로 그를 쳐보았다. 
99,K는 반쯤 몸을 일으키고 머리칼을 매만지고 쓰다듬은 후 고개를 들고 쳐다보며 중얼대었다. ,K는 반쯤 몸을 일으키고 머리칼을 매만지고 쓰다듬은 후 고개를 들고 쳐다보며 중얼대었다. ,반쯤 몸을 일으키고 머리칼을 매만지고 쓰다듬은 후 K는 고개를 들고 쳐다보며 중얼대었다. ,K는 반쯤 몸을 일으키고 머리칼을 매만지고 쓰다듬은 후 고개를 들고 쳐다보며 중얼대었다.
100,K는 몸을 완전히 일으키지 않은 채 머리카락을 쓰다듬은 후 얼굴을 치켜들고 쳐다보며 웅얼거렸다. ,K는 몸을 완전히 일으키지 않은 채 머리카락을 쓰다듬은 후 얼굴을 치켜들고 쳐다보며 웅얼거렸다. ,K는 몸을 완전히 일으키지 않은 채 머리카락을 쓰다듬은 뒤 얼굴을 치켜들고 쳐다보며 웅얼거렸다. ,K는 몸을 완전히 일으키지 않은 채 머리카락을 쓰다듬은 후 얼굴을 치켜들고 쳐다보며 웅얼거렸다.
101,K는 반쯤 몸을 일으켜 세우고는 머리칼을 살살 쓸어 어루만지고 고개를 들고 바라보며 궁시렁거렸다. ,K는 반쯤 몸을 일으켜 세우고는 머리칼을 살살 쓸어 어루만지고 고개를 들고 바라보며 궁시렁거렸다. ,반쯤 몸을 일으켜 세우고는 K는 머리칼을 살살 쓸어 어루만지고 고개를 들고 바라보며 궁시렁거렸다. ,K는 절쯤 몸을 일으켜 세우고는 머리칼을 살살 쓸어 어루만지고 고개를 들고 바라보며 궁시렁거렸다. 
102,K는 방을 나가려고 하는 그녀에게로 다가가며 다소 다급한 목소리로 말했다. ,K는 방을 나가려고 하는 그녀에게로 다가가며 다소 다급한 목소리로 말했다. ,K는 방을 나가려고 하는 그녀에게로 다가가며 약간 다급한 목소리로 말했다,K는 방을 나가려고 하는 그녀에게로 다가가며 다소 다급한 목소리로 말했다. 
103,K는 그녀가 방을 나가려고 하자 다가가 약간 다급한 목소리로 말했다. ,K는 그녀가 방을 나가려고 하자 다가가 약간 다급한 목소리로 말했다. ,K는 그녀가 방을 나가려고 하자 다가가 약간 다급한 목소리로 말했다. ,K는 그녀가 방을 나가려고 하자 다가가 약간 다급한 목소리로 말했다.
104,방을 나가려고 하는 그 여자에게 K가 접근하여 조금 급박한 목소리로 말했다. ,K가 방을 나가려고 하는 그 여자에게 접근하여 조금 급박한 목소리로 말했다. ,K가 접근하여 방을 나가려고 하는 그 여자에게 조금 급박한 목소리로 말했다. ,K가 접근하여 방을 나가려고 하는 그 여자에게 조금 급박한 목소리로 말했다
105,K는 버스에 오르고 있는 승객 중 한 사람을 붙들고 물었다. ,K는 버스에 오르고 있는 승객 중 한 사람을 붙들고 물었다. ,K는 버스에 오르고 있는 승객 가운데 한 사람을 붙들고 물었다. ,K는 버스에 오르고 있는 승객 중 한 사람을 붙들고 질문했다. 
106,K는 버스에 오르는 중인 승객 가운데 한 사람을 붙들고 질문했다. ,K는 버스에 오르는 중인 승객 중 한 사람을 붙들고 질문했다. ,K는 버스에 오르는 중인 승객 가운데 한 사람을 붙들고 질문했다. ,K는 버스에 오르는 중인 승객 중 한 사람을 붙들고 물었다. 
107,K는 버스에 승차하는 중인 손님 중 한 사람을 붙들고 질문을 던졌다. ,K는 버스에 승차하는 중인 손님 중 한 사람을 붙들고 질문을 던졌다. ,K는 버스에 승차하는 중인 손님 중 한 사람을 붙들고 질문을 던졌다.,K는 버스에 승차하는 중인 손님 중 한 사람을 붙들고 질문을 했다. 졌다
108,K는 세번째의 사람이 방 한가운데로 나서는 것을 보고서야 방을 빠져나왔다. ,K는 세 번째의 사람이 방 한가운데로 나서는 것을 보고서야 방을 빠져나왔다. ,K는 세번째의 사람이 방 한가운데로 나서는 것을 보고서야 방을 빠져나왔다. ,K는 세 번째의 사람이 방 한가운데로 나서는 것을 보고서야 방을 빠져나왔다.
109,세 번째 사람이 방 한복판으로 나서는 것을 보고서야 K는 방을 빠져나왔다. ,K는 세 번째 사람이 방 한복판으로 나서는 것을 보고서야 방을 빠져나왔다. ,세 번째 사람이 방 한복판으로 나서는 것을 보고서야 K는 방을 빠져나왔다. ,K는 세 번째 사람이 방 한복판으로 나서는 것을 보고서야 방을 빠져나왔습니다
110,세 번째 사람이 방의 한가운데로 나서는 것을 본 K는 방에서 나왔다. ,K는 세 번째 사람이 방의 한가운데로 나서는 것을 본 후 방에서 나왔다. ,K는 세 번째 사람이 방의 한가운데로 나서는 것을 본 것을 방에서 나왔다. ,K는 세 번째 사람이 방의 한가운데로 나서는 것을 본 후 방에서 나왔다.
111,K는 아무 말 하지 않았다. ,K는 아무런 말도 하지 않았다. ,K는 아무런 말 없이 하지 않았다. ,K는 아무런 말도 하지 않았다.
112,K는 아무런 말도 하지 않았다. ,K는 아무런 말도 하지 않았다. ,K는 아무런 말도 하지 않았다. ,K는 아무런 말도 하지 않았다.
113,K는 입을 꾹 다문 채 어떤 말도 하지 않았다. ,K는 입을 꾹 다문 채 어떤 말도 하지 않았다. ,입을 꾹 다문 채 K는 어떤 말도 하지 않았다. ,K는 입을 꾹 다문 채 어떤 말도 하지 않았다. 
114,K는 약 오 초 동안 그러한 그를 바라보고 있다가 말했다. ,K는 대략 오 초 동안 그러한 그를 바라보고 있다가 말했다. ,K는 대략 오 초 동안 그러한 그를 바라보고 있다가 말을 했다,K는 대략 오 초 동안 그러한 그를 바라보고 있다가 말하였다
115,K는 약 5초 동안 그러한 그를 보더니 말을 시작했다. ,K는 대략 5초 동안 그러한 그를 보더니 말을 시작했다. ,K는 대략 5초 동안 그러한 그를 보더니 말을 시작했다,K는 대략 5초 동안 그러한 그를 보더니 말을 시작하였다
116,K는 대략 오 초 동안 그러한 그를 지켜보다가 말을 했다. ,K는 약 오 초 동안 그러한 그를 지켜보다가 말을 했다. ,K는 약 오 초간 그러한 그를 지켜보다가 말을 했다. ,K는 약 5초간 그러한 그를 지켜보다가 말을 했다. 
117,K는 약간 당황한 표정과 목소리로 이렇게 덧붙였다. ,K는 조금 당황한 표정과 목소리로 이렇게 덧붙였다. ,K는 약간 당황한 표정과 목소리로 이렇게 덧붙였다,K는 약간 당황한 표정과 목소리로 이렇게 말했다
118,K는 살짝 당혹스러운 표정과 목소리로 이렇게 부연해서 말했다. ,K는 살짝 당혹스러운 표정과 목소리로 이렇게 부연해서 말했다. ,K는 약간 당혹스러운 표정과 목소리로 이렇게 부연해서 말했다. ,K는 살짝 당혹스러운 표정과 목소리로 이렇게 부연해서 말했다.
119,K는 조금 놀라 어찌할 바를 모르겠다는 표정과 말소리로 이렇게 덧붙였다. ,K는 조금 놀라 어찌할 바를 모르겠다는 표정과 말소리로 이렇게 덧붙였다. ,K는 약간 놀라 어찌할 바를 모르겠다는 표정과 말소리로 이렇게 덧붙였다,K는 조금 놀라서 어찌할 바를 모르겠다는 표정과 말소리로 이렇게 덧붙였다
